date,team1,team2,result
09.09. 18:00,Azerbaijan,Bulgaria,1 : 2
09.09. 18:00,Kazakhstan,Latvia,0 : 0
08.09. 20:45,Austria,Sweden,1 : 1
08.09. 20:45,Estonia,Slovenia,1 : 0
08.09. 20:45,Luxembourg,Belarus,1 : 1
08.09. 20:45,Montenegro,Moldova,2 : 0
08.09. 20:45,San Marino,Lithuania,0 : 2
08.09. 20:45,Spain,FYR Macedonia,5 : 1
08.09. 20:45,Switzerland,England,0 : 2
08.09. 20:45,Ukraine,Slovakia,0 : 1
08.09. 18:00,Russia,Liechtenstein,4 : 0
07.09. 20:45,Faroe Islands,Finland,1 : 3
07.09. 20:45,Germany,Scotland,2 : 1
07.09. 20:45,Gibraltar,Poland,0 : 7
07.09. 20:45,Greece,Romania,0 : 1
07.09. 20:45,Portugal,Albania,0 : 1
07.09. 18:00,Denmark,Armenia,2 : 1
07.09. 18:00,Georgia,Ireland,1 : 2
07.09. 18:00,Hungary,Northern Ireland,1 : 2
