date,team1,team2,result
03.09. 18:00,Switzerland U20,Poland U20,0 : 1
03.09. 17:00,Israel U19,Montenegro U19,0 : 1
03.09. 16:00,Italy U20,Germany U20,0 : 2
03.09. 16:00,Netherlands U18,England U18,0 : 2
03.09. 16:00,Portugal U18,Slovakia U18,3 : 2
03.09. 14:30,Thailand,Afghanistan,2 : 0
03.09. 14:00,Philippines,Maldives,2 : 0
03.09. 11:00,Slovenia U19,Slovakia U19,1 : 0
02.09. 18:00,Bulgaria U19,Scotland U19,1 : 1
02.09. 17:30,Slovakia U23,Turkey U23,2 : 2
01.09. 19:00,Portugal U19,Switzerland U19,1 : 1
01.09. 17:00,Slovenia U19,Slovakia U19,0 : 1
01.09. 15:00,Congo,Ghana,2 : 3
31.08. 16:00,Lebanon,Palestine,0 : 0
31.08. 15:30,India,Nepal,0 : 0
29.08. 14:45,Malaysia,Bangladesh,0 : 0
29.08. 12:00,Laos,Cambodia,2 : 1
28.08. 23:00,Saint Vincent and the Grenadines,Barbados,2 : 2
28.08. 18:00,Qatar,Singapore,4 : 0
28.08. 17:00,Oman,Yemen,1 : 0
28.08. 15:30,Rwanda,Ethiopia,3 : 1
27.08. 09:00,Fiji,American Samoa,6 : 0
26.08. 16:00,Lebanon,Iraq,2 : 3
22.08. 11:00,Japan U18,Slovakia U18,3 : 1
21.08. 17:00,USA U18,Slovakia U18,1 : 1
20.08. 13:30,Cambodia,Bhutan,2 : 0
19.08. 17:00,Russia U18,Slovakia U18,3 : 2
19.08. 09:00,Fiji,Tonga,5 : 0
18.08. 17:00,Slovenia U18,Slovakia U18,2 : 1
13.08. 18:00,Slovenia U19,FYR Macedonia U19,0 : 2
13.08. 16:00,Armenia U19,Slovakia U19,0 : 1
12.08. 21:00,Hungary U21,Italy U21,0 : 0
11.08. 18:00,Slovenia U19,FYR Macedonia U19,4 : 0
11.08. 16:00,Armenia U19,Slovakia U19,0 : 1
27.07. 15:00,Vietnam,Manchester City,1 : 8
06.07. 15:00,Malawi,Uganda,1 : 0
04.07. 00:30,USA,Guatemala,4 : 0
02.07. 03:30,Honduras,Mexico,0 : 0
28.06. 10:00,Japan U18,Slovakia U18,2 : 1
28.06. 00:00,Mexico,Costa Rica,2 : 2
26.06. 10:00,Slovakia U18,Kyrgyzstan U18,3 : 1
24.06. 10:00,China U18,Slovakia U18,1 : 2
18.06. 13:00,Estonia U19,Latvia U19,3 : 1
18.06. 13:00,Lithuania U19,Finland U19,1 : 1
16.06. 21:00,France U21,Paraguay U21,2 : 1
16.06. 20:45,Poland,Greece,0 : 0
16.06. 20:30,Italy,Portugal,0 : 1
16.06. 19:00,Sweden U21,Albania U21,4 : 1
16.06. 18:00,Jordan,Trinidad & Tobago,3 : 0
16.06. 18:00,Norway U21,Austria U21,2 : 2
16.06. 17:00,Estonia U19,Finland U19,0 : 2
16.06. 15:00,South Africa,Angola,2 : 1
16.06. 13:00,Latvia U19,Lithuania U19,0 : 1
15.06. 17:00,Estonia U19,Lithuania U19,1 : 2
15.06. 13:00,Latvia U19,Finland U19,0 : 0
14.06. 19:00,Gabon,Ivory Coast,0 : 0
14.06. 15:30,Belarus U21,Russia U21,0 : 3
13.06. 18:00,Albania,France,1 : 0
13.06. 14:00,Finland U21,Sweden U21,0 : 0
12.06. 19:00,Greece U19,Denmark U19,4 : 2
12.06. 18:30,Austria U21,Bulgaria U21,3 : 1
11.06. 22:00,Spain,Costa Rica,2 : 1
11.06. 21:00,France U21,South Korea U21,1 : 1
11.06. 20:45,England U21,Belarus U21,1 : 0
11.06. 18:00,Denmark U21,Sweden U21,2 : 2
11.06. 15:00,Uzbekistan,Iran,0 : 1
11.06. 12:00,Japan,Iraq,4 : 0
11.06. 11:20,South Korea,United Arab Emirates,3 : 0
11.06. 03:00,Brazil,Honduras,1 : 0
10.06. 20:45,Germany,USA,1 : 2
